REF_DATE,GEO,DGUID,Labour force characteristics,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1993,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,73.3,,,,1
1994,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,73.1,,,,1
1995,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,72.5,,,,1
1996,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,72.2,,,,1
1997,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,72.2,,,,1
1998,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,72.1,,,,1
1999,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,72.4,,,,1
2000,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,72.3,,,,1
2001,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,72.3,,,,1
2002,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,73,,,,1
2003,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,73.4,,,,1
2004,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,73.2,,,,1
2005,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,72.8,,,,1
2006,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,72.3,,,,1
2007,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,72.5,,,,1
2008,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,72.7,,,,1
2009,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,71.9,,,,1
2010,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,71.6,,,,1
2011,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,71.4,,,,1
2012,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,71,,,,1
2013,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,70.9,,,,1
2014,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,70.6,,,,1
